Timestamp,Do you believe that a hotdog falls under the category of a sandwich?,What is the rationale behind your opinion?,Are you currently enrolled as an undergraduate or graduate student at the University of Virginia?,What is your field of study or major?,"If you are an undergraduate, what is your current academic year?",What state or country were you born in?
1/18/2024 14:18,No,If you asked for a sandwich and someone gave you a hotdog you’d be confused,Undergraduate,Systems engineering,Fourth year,Virginia
1/18/2024 14:19,No,,Graduate,,,
1/18/2024 14:20,No,Society doesn’t view it that way ,Undergraduate,Computer science ,Third Year,United States 
1/18/2024 14:21,No,"If a sandwich has meat in it, it is sliced. A hot dog's wiener is not sliced within the hot dog. Therefore, a hot dog is not a sandwich.",Undergraduate,Astronomy-Physics ,Fourth year,New York
1/18/2024 14:22,Yes,Merriam Webster Dictionary definition of sandwich,Undergraduate,Computer Science,Fourth year,"Virginia, United States"
1/18/2024 14:22,No,If I asked for a sandwich and somebody gave me a hot dog I would be sad,Undergraduate,Media Studies,Third Year,Virginia
1/18/2024 14:23,No,"There is only one piece of bread holding the hotdog, whereas typical sandwiches have their filling contained between two pieces of bread. ",Undergraduate,Biomedical Engineering,Fourth year,"CA, USA"
1/18/2024 14:23,No,,Undergraduate,cognitive science,Fourth year,maryland
1/18/2024 14:23,No,,Undergraduate,CS,Fourth year,Virginia
1/18/2024 14:24,No,No sandwhich shops sell hot dogs,Undergraduate,Econ,Third Year,Virginia
1/18/2024 14:25,No,A hot dog is its own type of food,Undergraduate,Kinesiology ,Fourth year,Virginia
1/18/2024 14:26,No,It simply isn't. Like. Be so real.,Undergraduate,English and Psychology,Fourth year,Spain technically but I am not from there. American
1/18/2024 14:26,No,sometimes people try and get to philosophical or in depth about these conversations but i am just operated off of vibes. when i think of a sandwich a hot dog does not cross my mind,Undergraduate,government + philosophy,Third Year,virginia
1/18/2024 14:27,Yes,Meat between bread,Undergraduate,politics,Third Year,Maryland
1/18/2024 14:27,No,It’s one piece of bread. It’s closer to a burrito than a sandwich ,Undergraduate,Commerce and Foreign Affairs,Third Year,"Oklahoma, USA"
1/18/2024 14:29,No,A hot dog is considered a hot dog regardless of whether there is bread or not; the presence of bread is essential to the labeling of something as a sandwich; thus a hot dog is not a sandwich,Undergraduate,Psychology,Fourth year,Pennsylvania
1/18/2024 14:33,No,"A hotdog falls into its own beautiful category. When discussing the physical nature of a sandwich, the meat and/or other fillings are completely covered top and bottom by the bread, while a hotdog has an open top. But if you are talking about the emotional aspect, then a sandwich can in no way create the joy and wonder that comes from eating a good hotdog. Need I say more?",Undergraduate,Psychology,Fourth year,Virginia
1/18/2024 14:35,No,It’s in the glizzy category,Undergraduate,Cs,Fourth year,
1/18/2024 14:36,No,"In a normal societal context nobody instinctually categorizes hotdogs into a sandwich, including me",Undergraduate,CS,Second Year,Philippines
1/18/2024 14:36,No,Not a sandwich bread & also weird this is weird,Undergraduate,Biology,Second Year,"Virginia, USA"
1/18/2024 14:37,No,It is a hot dog,Undergraduate,cognitive science,Second Year,philippines
1/18/2024 14:38,Yes,"A hot dog is meat (a filling) enclosed by two distinct planes of bread. So, a sandwich. Just because it uses one single piece of bread doesn't make it not a sandwich. By that logic subs aren't sandwiches when they definitely actually are",Undergraduate,Computer Science,Second Year,Virginia
1/18/2024 14:39,No,Bread shape and meat used ,Undergraduate,Politics,Third Year,Brazil
1/18/2024 14:39,Yes,It has meat in between 2 pieces of bread,Undergraduate,BME,Fourth year,Massachusetts
1/18/2024 14:43,No,it’s a taco,Undergraduate,chemistry ,Fourth year,massachusetts usa
1/18/2024 14:43,No,hot dog gets its own category,Undergraduate,nursing,Fourth year,illinois
1/18/2024 14:44,Yes,It is basically two pieces of bread with innards between them. The bread is surrounding the innards,Undergraduate,Human biology,Fourth year,"VA, USA"
1/18/2024 14:44,Yes,Ingredients between bread,Undergraduate,Economics,Fourth year,Maryland
1/18/2024 14:47,No,I think it deserves its own category ,Graduate,Physical therapy,,Virginia 
1/18/2024 14:51,No,only 1 pc of bread ,Undergraduate,sociology ,Third Year,new ylork
1/18/2024 14:56,Yes,If other stereotypically sandwich-like fillings were put between the two pieces of bread I feel like most people would call it a sandwich. Hot dog is a type of sandwich ,Undergraduate,"Physics, philosophy",Third Year,US
1/18/2024 14:57,No,Because ,Graduate,Freedom ,,USA 
1/18/2024 14:57,No,"Hot dog has bread that is connected, while sandwiches have two slices of bread",Undergraduate,Computer Science & Cognitive Science,Third Year,"Virginia, U.S."
1/18/2024 15:00,Yes,Because you build it and it’s between 2 buns ,Undergraduate,Media Studies ,Fourth year,Virginia 
1/18/2024 15:01,Yes,Initially I was going to vote no and make the argument that it requires two separate pieces of bread but then I thought of subway. They don’t cut the bread all the way through but it remains a sandwich. If that requirement does not hold then a hotdog is a sandwich. ,Undergraduate,Your mom with a minor in swag,Fourth year,Your mom 
1/18/2024 15:01,No,,Undergraduate,,,
1/18/2024 15:05,Yes,It is an item i between two pieces of bread. A hot dog bun is nothing more than a sub rkll,Graduate,Classics and History,,Virginia 
1/18/2024 15:07,No,"there are already so many sandwiches and the vast majority of them are, generally, almost always put in that category, and they have a clearly defined difference from a hot dog, they have two slices while the hot dog has one, or two pieces that are connected.",Undergraduate,Middle eastern language and culture and spanish,Fourth year,United kingdom
1/18/2024 15:10,No,,Undergraduate,,Fourth year,New York
1/18/2024 15:14,Yes,It’s an edible substance between two pieces of bread ,Undergraduate,Public policy,Fourth year,Mass 
1/18/2024 15:15,Yes,"The main arguments against a hotdog being a sandwich are the fact that the 1) two pieces of bread are connected to each other, and 2) that the meat is in a tube shape. My rebuttal: 1) subs have the same style of bread and everyone agrees that Subway sells sandwiches. 2) this just doesn’t matter to the overall structure of the food.",Undergraduate,"Statistics, English",Fourth year,Virginia 
1/18/2024 15:18,Yes,Sandwich is anything with something between bread ,Undergraduate,Biology,Second Year,Virginia
1/18/2024 15:22,No,I classify it as its own category ,Undergraduate,Biology ,Third Year,"Alexandria, virginia "
1/18/2024 15:30,Yes,"I’d say a sandwich is when you have something between two pieces of bread and although the bread isn’t completely disconnected with a hot dog, the hotdog itself is in between the bun.",Undergraduate,Computer Science,Third Year,VA
1/18/2024 15:31,Yes,contents of sandwich with bread on each side,Undergraduate,neuroscience,Third Year,USA
1/18/2024 15:32,No,It’s not a sandwich it’s a hot dog. Not everything in a roll is a sandwich. ,Undergraduate,Biomedical Engineering ,Fourth year,Maryland 
1/18/2024 15:42,No,,Undergraduate,Math,Fourth year,Germany
1/18/2024 15:44,No,Gut Feeling,Undergraduate,Physics,Fourth year,Virginia
1/18/2024 15:55,No,"When you see a hot dog what do you say? ""I could go for that sandwich over there""? No u say ""damn thats a juicy hot dog I want that"" lets not get technical about it, its a hot dog.",Undergraduate,Computer Science,Fourth year,Fairfax VA
1/18/2024 16:00,No,It’s a different shape it’s unique,Undergraduate,Comm,Fourth year,VA
1/18/2024 16:05,Yes,Fillings between bread ,Undergraduate,Computer Science,Third Year,Virginia
1/18/2024 16:09,No,"It’s a hotdog. There isn’t two pieces of bread, and it’s on a bun.",Undergraduate,Nursing,Fourth year,Germany
1/18/2024 16:15,No,At hot dog has a bun. Sandwich uses bread in the form of sliced.,Undergraduate,Biology,Third Year,Virginia
1/18/2024 16:37,No,It’s not a sandwich.,Undergraduate,Aerospace Engineering,Fourth year,Florida
1/18/2024 16:54,No,"I think a hotdog is closer to a taco than a sandwich, but i don’t really feel strongly about my opinion because i don’t particularly care",Undergraduate,Psychology,Fourth year,Pennsylvania 
1/18/2024 17:05,No,The bread needs to be separate,Undergraduate,Econ,Third Year,New York
1/18/2024 17:11,Yes,Meat in between bread therefore a sandwich. ,Undergraduate,Biochemistry,Second Year,California
1/18/2024 17:13,No,a hotdog is a unique category of food that does not fall within sandwich classification,Undergraduate,undecided,First year,virginia
1/18/2024 17:15,No,"Nothing recognized as a sandwich (regardless of whether is surrounded by bread on two or three sides) has a uniform cylindrical meat filling in it. It doesn’t share the filling qualities of a three sided sandwich, even though it’s a protein-bread-condiment combination. ",Undergraduate,Political and Social Thought ,Fourth year,"Virginia, USA"
1/18/2024 17:35,No,A sandwich encloses its contents from the top and bottom. A hot dog does not.,Undergraduate,Interdisciplinary,Fourth year,Massachusetts
1/18/2024 17:42,No,It’s a hotdog. Not a sandwich. Sandwich has a separate top and bottom bun ,Undergraduate,Comm,Fourth year,Virginia 
1/18/2024 18:18,No,it is not. ,Undergraduate,computer science,Third Year,virginia
1/18/2024 18:19,Yes,bread plus meat = sandwich,Undergraduate,bscs,Fourth year,canada
1/18/2024 18:20,No,,Undergraduate,Computer science,Fourth year,"VA, USA"
1/18/2024 18:24,Yes,Bread + filing is sandwich,Undergraduate,Computer Science,Fourth year,Thailand
1/18/2024 18:27,No,a sandwich is the bread on top and bottom but with a hotdog the bread is on the sides so its not a sandwich,Undergraduate,Computer science,Fourth year,virginia
1/18/2024 19:05,No,"A hot dog may be some meat between some bread, yet it’s only one continuous piece of bread and if the pork meat is in a long, cylindrical shape in between bread then it’s just a hot dog.",Undergraduate,Civil Engineering,Fourth year,Virginia
1/18/2024 19:09,No,"It is in bad faith to call it a sandwich, there is no reason that it can't be a category of its own given its popularity.",Undergraduate,Statistics,Fourth year,Virginia
1/18/2024 19:50,No,"I subscribe to the Cube Rule. It’s the superior food classification system, however silly it may seem. It is logically sound.",Undergraduate,"Computer Science, Math",Fourth year,D.C
1/18/2024 21:17,Yes,it's a piece of meat between bread,Undergraduate,statistics,Fourth year,United States
1/19/2024 8:46,Yes,Because two sides are covered with bread. Even though they are connected I would consider a wrap a sandwich so I think a hot dog should be too,Undergraduate,Psychology and Statistics,Fourth year,Maryland 
1/19/2024 8:49,No,I feel like it’s not between two pieces of bread in the way a sub is. It’s more like it’s sitting on top layer with other toppings like a taco and it just looks like a sandwich when u squish it together too hard,Undergraduate,Computer science,Third Year,"Maryland, US"
1/19/2024 9:46,No,"I don’t know. It just feels right in my heart. I don't want it to be a sandwich and sandwiches are a made up concept anyway, so I go with what feels correct",Undergraduate,Urban & Environmental Planning,Second Year,Massachusetts
1/19/2024 10:36,No,,Undergraduate,Math,Fourth year,Pennsylvania
1/19/2024 12:04,No,its a Weiner inside of a bun. Not two buns stacked on condiments and poultry. ,Graduate,Commerce - Business Analytics ,,New York City
1/19/2024 14:06,No,Because if is usually eaten with the open portion facing upwards.,Undergraduate,Computer science,Third Year,Maryland
1/19/2024 14:20,Yes,Bread meat bread ,Undergraduate,Batten,Third Year,Washington DC
1/19/2024 14:30,No,Just doesn’t feel like one. Going with my gut,Undergraduate,Econ & Commerce,Third Year,Ohio
1/19/2024 14:35,No,"According to the chart “The Cube Rule of Food”, a hotdog clearly falls under the category of a taco. It is covered on the bottom and sides, but not the top. A sandwich is not covered on the sides, but is covered on the top and bottom. Therefore, a hotdog is not a sandwich but a taco. ",Undergraduate,Foreign Affairs and Arabic Language,Third Year,Virginia
1/19/2024 15:14,No,the orientation of the item,Undergraduate,commerce,Fourth year,Virginia 
1/19/2024 15:16,Yes,It's in between two buns.,Undergraduate,Computer Science,Fourth year,US
1/19/2024 16:13,Yes,It's a piece of meat in between bread. ,Undergraduate,Media Studies ,Fourth year,United States 
1/19/2024 22:26,Yes,Bun is the same shape as a sub roll,Undergraduate,Mechanical Engineering,Third Year,Virginia
